date,lat,lon,depth,id,mw,moment
09/20/1999,23.869,120.84,7.0,1999CHICHI02MAxx,7.69,3.87e+20
05/13/1997,31.952,130.34,7.7,1997KAGOSH02HORI,6.01,1.16e+18
09/20/1999,23.869,120.84,7.0,1999CHICHI01SEKI,7.63,3.11e+20
09/26/2003,41.78,144.08,25.0,2003TOKACH01YAMA,8.03,1.25e+21
10/18/1989,37.041,-121.883,17.6,1989LOMAPR01WALD,6.94,2.89e+19
09/03/2010,-43.55,172.2,10.0,2010DARFIE01ATZO,7.1,5.01e+19
07/17/2006,-9.31,107.284,15.0,2006JAVAIN01YAGI,7.82,6.77e+20
06/28/1992,34.2,-116.43,7.0,1992LANDER01WALD,7.28,9.26e+19
01/17/1994,34.213,-118.537,17.5,1994NORTHR01SHEN,6.84,2.05e+19
10/14/1997,42.919,12.926,5.58,1997COLFIO03HERN,5.86,6.81e+17
09/09/1969,35.47,137.05,2.0,1969GIFUxK01TAKE,6.43,4.94e+18
10/28/1983,44.06,-113.86,16.0,1983BORAHP01MEND,6.82,1.9e+19
03/11/2011,38.1035,142.861,12.770844181232086,2011TOHOKU03SATA,9.0,3.55e+22
06/28/1991,34.264,-117.99,20.9,1991SIERRA01WALD,5.59,2.71e+17
03/26/1997,31.9681,130.3875,7.6,1997KAGOSH01HORI,6.1,1.5e+18
11/15/2006,46.607,153.23,20.0,2006KURILI02SLAD,8.3,3.16e+21
02/27/2010,-35.8765,-72.7746,33.7639,2010MAULEC01HAYE,8.77,1.6e+22
01/17/1995,34.595,135.012,14.3,1995KOBEJA01IDEx,6.89,2.44e+19
01/17/1994,34.213,-118.537,17.5,1994NORTHR01HUDN,6.81,1.82e+19
11/14/2007,-22.19723,-69.85295,49.65798,2007TOCOPI01SLAD,7.7,3.98e+20
10/28/2012,52.7881,-132.1011,15.85,2012MASSET01LAYx,7.82,6.74e+20
12/26/2004,3.12,95.49,27.0,2004SUMATR01RHIE,9.17,7.15e+22
09/28/2004,35.82363,-120.36703,8.0,2004PARKFI01JIxx,5.9,7.94e+17
12/26/2006,21.97,120.42,50.22,2006PINGTU02YENx,6.8,1.8e+19
09/12/2007,-2.7156,100.8011,44.6383,2007PAGAII01JIxx,7.9,7.94e+20
01/17/1994,34.213,-118.537,17.5,1994NORTHR01WALD,6.8,1.75e+19
09/28/2004,35.8185,-120.3706,8.26,2004PARKFI01CUST,6.06,1.36e+18
08/12/1998,36.2351,137.6256,3.32,1998HIDASW05IDEx,4.54,7230000000000000.0
06/29/1980,34.9231,139.1855,8.0,1980IZUxHA01TAKE,6.61,9.14e+18
03/24/2001,34.1292,132.6962,46.46,2001GEIYOJ01KAKE,6.68,1.19e+19
01/13/2007,46.2856,154.4348,18.1531,2007KURILI01JIxx,8.1,1.58e+21
11/25/1988,48.117,-71.184,26.0,1988SAGUEN01HART,5.81,5.85e+17
